fold,period_from,period_to,train_hrs,val_hrs,mse,rmse,mae,qlike,phi,alpha_beta,resid_var
1,2022-01-01,2022-05-27,44544,3502,1.14427888372875,1.06970971937659,0.87786703161668,0.535430955010871,0.338336992053598,0.990472645984376,1.58799560995238
2,2022-05-27,2022-10-20,48046,3502,1.16647253363442,1.08003357986427,0.873593226751837,0.586839537335128,0.331261238159057,0.993580608187535,1.57512309191135
3,2022-10-20,2023-03-14,51548,3502,1.69411678973599,1.30158241757331,1.0583540972886,0.876062670568683,0.329915798330191,0.991751371962265,1.56225118060541
4,2023-03-14,2023-08-07,55050,3502,1.50043129986859,1.22492093617041,1.00565182716878,0.717919230576848,0.333864698171243,0.995406870105861,1.61599775281067
5,2023-08-08,2023-12-31,58552,3502,1.4619504709467,1.20911143859725,0.977114439069863,0.926729098520766,0.334415385373893,0.995722789582096,1.63493041847638
